Reference,SupportReference,Note,Book,Context,Date,Source
1:1,rc://*/ta/man/translate/figs-explicit,Apply a high bar - editors delete ~50%; only supply implicit info a translator could not infer.,ALL,~50% deleted,2026-07-02,editor-history
1:1,rc://*/ta/man/translate/figs-parallelism,"Genre-dependent: editors deleted 57% in HAB but kept all in LAM. Write only when the parallel line adds meaning, not for every poetic couplet.",ALL,HAB 57% del / LAM 0%,2026-07-02,editor-history
1:1,rc://*/ta/man/translate/grammar-connect-logic-result,Trim marginal cases; editors delete ~30%.,ALL,~30% deleted,2026-07-02,editor-history
1:1,rc://*/ta/man/translate/translate-names,"Name notes must go beyond 'The word X is the name of a man/place.' State what the name is: for a person's foreign or alternative name give the relationship ('Belteshazzar is the Babylonian name of Daniel'); for a place give its location or role and the ULT spelling, correcting variants ('Azal' not 'Azel' in ZEC 14:5); for a title that functions as a name (e.g. Qoheleth) give its meaning ('a title meaning one who assembles a group') and whether to transliterate or translate. Editors consistently deleted or reworded bare 'name of a man' notes across ZEC, DAN, and ECC, and removed bare-identification notes for undistinguished persons in genealogical lists (1CH 2, MIC 1).",ALL,"name notes: state identity, role, or meaning, not just the category; 4 editors across ZEC, DAN, ECC, 1CH, MIC",2026-09-09,dream
1:1,rc://*/ta/man/translate/figs-activepassive,"Existing rule stands: every passive instance gets a note (content-team mandate). Strengthen on alternate-translation quality: name the agent in the active-voice alternate translation. Use 'God' for divine passives ('God prolonged their lives' not 'they were given an extension of life'), the named character when context identifies one, and 'someone' when the human agent is unknown ('someone pulled off its wings' not 'it lost its wings'). When one active rendering does not cover the range of the passive form, add a second bracketed option separated by 'or' (e.g. '[grew weak] or [came loose]'). Editors across DAN and AMO consistently rewrote agent-vague active alternates into agent-named ones.",ALL,"AT quality: name the agent (God / character / someone); add a second AT option when one is too narrow; DAN+AMO, 2 editors",2026-09-09,dream
1:1,rc://*/ta/man/translate/writing-pronouns,"Existing rule stands: write when an antecedent is genuinely ambiguous. Two further triggers that editors consistently added notes for: (a) pronoun chains where the same pronoun form (he/his/him/they) occurs in one verse or adjacent verses but refers to different people (e.g. 'he' for Nebuchadnezzar and 'he' for God in the same verse), or where a singular 'you/your' addresses a city or nation ('your plunder' addressed to Jerusalem); clarify the referents and give an AT that makes them explicit. (b) An emphatic independent pronoun stated separately from a verb that already encodes the subject ('I, Daniel'; Aramaic 'I myself fear my lord the king'), common in DAN's Aramaic chapters but also seen in ZEC and AMO; explain the emphasis and offer an AT that carries it. Four editors across DAN, ZEC, and AMO added notes for both patterns.",ALL,"multi-antecedent pronoun chains and emphatic independent pronouns; DAN, ZEC, AMO, 4 editors",2026-09-09,dream
1:1,rc://*/ta/man/translate/translate-symaction,"Write a translate-symaction note when a physical act carries cultural or religious meaning a translator could miss. In narrative prose editors consistently added notes for two categories: sacred or temple vessels used in a profane or idolatrous setting (mockery of God, DAN 5), and royal investiture markers such as purple garments and gold chains (conferral of high rank). Structure: name the action, say what it communicated to the original audience, cite supporting context in the passage if any, then give an AT or offer a footnote. Surviving template: 'X was a symbolic action by which [agent] [meaning]. If it would be helpful to your readers, you could explain the significance of this action in the text or in a footnote.' For compact investiture gestures a brief form suffices ('These were symbols of [rank/authority]. Alternate translation: [...]'); give a fuller explanation for ritual acts with theological weight. Editors in DAN and AMO added 13 such notes and most survived.",ALL,"narrative prose: sacred-vessel desecration and royal regalia; template stable; DAN+AMO, 2 editors",2026-09-09,dream
1:1,rc://*/ta/man/translate/figs-idiom,"When keeping a figs-idiom note: name the speaker, bold the idiom phrase, state its cultural meaning, and offer two alternate translations, one that paraphrases the idiom closely and one that states the meaning plainly (e.g. '[while under the influence of the wine] or [Belshazzar became drunk and said]'; '[does not respect you] or [does not obey you]'). Editors consistently expanded single-AT idiom notes to two options across DAN and AMO. Classification and keep/drop guidance for figs-idiom is in issue_decisions.csv.",ALL,idiom note pattern: two ATs (close paraphrase + plain meaning); DAN+AMO,2026-09-09,dream
1:1,rc://*/ta/man/translate/writing-quotations,"Write a writing-quotations note when (a) a speech begins in a verse without an explicit speech-introduction verb, or nested speech makes it unclear where a new speaker's words start; (b) indirect speech is reported where the source expects a direct-quotation introduction; or (c) a double verb such as 'answered and said' introduces a quote. Templates that survived editing: 'This is the beginning of what [speaker] told [listener]. If it would be helpful to your readers, you could introduce this as a direct quotation. Alternate translation: [He told me, ...]' and 'The terms answered and said together introduce a direct quotation. In your translation, use a natural way of introducing direct quotations in your language. It may not be necessary to represent both terms.' Editors across DAN and AMO added these notes in visionary and narrative prose.",ALL,unmarked or nested speech onset; indirect-to-direct; double-verb introductions; DAN+AMO,2026-09-09,dream
1:1,rc://*/ta/man/translate/figs-infostructure,"Write a figs-infostructure note when (a) the Hebrew or Aramaic order places a result before its reason, or background before the main action, in a way that could make readers misread the causal or temporal sequence; template: 'You could put [X] before [Y]. The UST models one way to do that.' Or (b) a verse could attach to either the preceding or the following section; list both as numbered alternatives: 'This verse could go with: (1) the previous section ([ref]). See the ULT and UST. (2) the following section ([ref]).' Keep the note concise and only write for ordering when the displacement is significant enough to mislead. Editors added these in DAN (narrative) and EZK (temple measurements).",ALL,"result-before-reason ordering; verse boundary attachment; DAN, EZK",2026-09-09,dream
1:1,rc://*/ta/man/translate/figs-idiom,"The Aramaic phrase כָּל־קֳבֵל (kol-qobel, 'all before', often כָּל־קֳבֵל דִּי) recurs through Daniel's Aramaic chapters with a sense that shifts by context: 'because' (6:4, 6:22), 'therefore / so then' (6:9), 'just as / in the same way as' (6:10), 'although / even though' (5:22). Write a figs-idiom note at each occurrence that identifies the sense in that clause and gives a context-specific AT; do not reuse one generic AT.",DAN,"Aramaic idiom kol-qobel: sense varies per clause; note each occurrence; proposed in 3 runs, held as single-editor in the 09-09 run",2026-09-09,dream
1:1,rc://*/ta/man/translate/writing-foreground,In Daniel's Aramaic chapters the particle כְּעַן ('now') and וּכְעַן ('and now') mark a pivot to the speaker's main or concluding point rather than a time reference. Add a writing-foreground note when it introduces the climactic statement in a speech. Template: '[Speaker] is using the term **Now** (or **And now**) to focus [listener's] attention on what [he/she] is about to say. Your language may have a comparable expression that you can use in your translation. Alternate translation: [So] or [And so]'. Distinct from the hinneh/behold rule; both may occur in the same chapter.,DAN,"Aramaic ke'an / uke'an as pivot-to-main-point marker; proposed in 2 runs, held as single-editor in the 09-09 run",2026-09-09,dream
1:1,rc://*/ta/man/translate/grammar-connect-logic-contrast,"Do not write a note because a phrase contains not / לא. Plain negation (not able, will not prevail, have not succeeded) is ordinary language — no explanation and no see-how cluster. Keep notes only for non-literal negation such as euphemistic they are no more / they were not (= they had died). If the ULT already begins with but, write no contrast note at all.",ALL,JER editor: over-triggering on not after euphemism precedent,2026-09-15,editor
1:1,rc://*/ta/man/translate/figs-metaphor,"Strengthen the existing template for note and alternate-translation precision, especially in vision/apocalyptic literature: (a) Kinship-term metaphors — when a kinship word (father, son) is used for a broader relation (grandfather, ancestor, descendant), name the actual relationship in both the note and the AT ('Nebuchadnezzar his grandfather' not just 'his ancestor'); use figs-metaphor, not translate-kinship. (b) Name subjects and objects explicitly in the AT rather than pronouns ('the goat was enraged at the ram' not 'it was enraged at it'). (c) Preserve the passage's polarity: if the figure involves a negation, the note and AT must keep that negation ('will not be cut off', not 'will be cut off'). (d) State both the vehicle and the tenor: 'speaking as if [vehicle] were [tenor]', and when the text itself identifies a symbol's referent, name it explicitly with a modern equivalent where available ('the male goat represents the king of Javan, now known as Greece'). Four editors across ZEC, DAN, and AMO consistently revised notes to these standards.",ALL,"AT precision, vehicle-tenor naming, kinship terms, apocalyptic symbol identification; ZEC+DAN+AMO, 4 editors; corroborated across 4 nightly runs (09-10, 09-12, 09-13, 09-14)",2026-09-14,dream
1:1,rc://*/ta/man/translate/figs-abstractnouns,"Strengthen existing rate guidance with AT quality standards: the alternate translation must be a complete, natural finite-verb or verbal clause, not a retained nominalization, gerundive, or dangling modifier ('to be forced to live in a foreign land' not 'to live forced in a foreign land'; 'And because he acts shrewdly' not 'And because he is cunning'). Name the agent explicitly when context identifies one — God for a clear divine passive ('God will give over both the sanctuary and the army for trampling'), or a named human character. When glossing coordinated abstract-noun pairs, keep the two clauses parallel and natural ('we ask that you would act compassionately and forgive us'). Three editors across ZEC and DAN consistently corrected ATs that violated these norms.",ALL,"AT quality: natural finite-verb clause, explicit agent naming; ZEC+DAN, 3 editors; corroborated across 4 nightly runs (09-10, 09-12, 09-13, 09-14)",2026-09-14,dream
1:1,rc://*/ta/man/translate/figs-explicit,"Strengthen with a numbered alternate-translation format for genuine lexical ambiguity: when a word or phrase has two or more scholarly-defensible senses that context does not resolve (e.g., Aramaic טְעֵם meaning 'taste' or 'command/decree' in DAN 5:2), present them as numbered options rather than picking one: '(1) [sense A]. Alternate translation: [...] (2) [sense B]. Alternate translation: [...]'. Also applies to a common word carrying a specialized or secondary sense not apparent from its usual gloss ('hear' meaning 'obey'), and to identity masked by a generic or conventional term (e.g., 'the man Gabriel' in DAN 9:21, where the note should name the referent explicitly — 'the angel Gabriel'). Reserve the numbered format for cases where two readings are genuinely defensible; a single clear implication still takes the existing 'you could include this information' framing. Four editors across DAN, NUM, EZK, and AMO consistently used this pattern; the matching keep/drop trigger is in issue_decisions.csv.",ALL,"numbered (1)/(2) AT format for polysemy, specialized sense, and masked identity; DAN+NUM+EZK+AMO, 4 editors; corroborated across 5 nightly runs (09-10 to 09-14)",2026-09-14,dream
1:1,rc://*/ta/man/translate/figs-doublet,"Write a figs-doublet note when two near-synonymous terms appear together for emphasis rather than distinct meaning. Structure: (1) bold both terms; (2) state they mean similar things; (3) name the author using them together for emphasis; (4) offer an AT that expresses the emphasis with a single phrase ('will diligently obey him' or 'will obey him completely'). Template that survived editing: 'The terms **X** and **Y** mean similar things. [Author] is using the two terms together for emphasis. If it would be clearer for your readers, you could express the emphasis with a single phrase. Alternate translation: [...]'. Two editors in DAN and JER consistently added notes in this form; do not collapse to a bare description.",ALL,"emphasis-pairs template; DAN+JER, 2 editors",2026-09-16,dream
1:1,rc://*/ta/man/translate/grammar-connect-logic-result,"Quote-anchor discipline for grammar-connect-logic-* notes (result, goal, contrast, and related sub-types): anchor the quote field to the connecting particle, conjunction, or purpose-marking phrase itself, not the surrounding clause or verse — e.g. כָּל־קֳבֵל דִּי alone for a reason-marker, not the full clause it introduces; לְ + verb root alone for a purpose infinitive; the bare contrast word (וְ, כִּי אִם) for grammar-connect-logic-contrast. Use the maqqef/hyphenated form of Aramaic compounds when quoting (כָּל־קֳבֵל, not כָּל קֳבֵל). When a compound connector spans two clause halves (מִן ... עַד), a multi-word anchor joined with & is acceptable, but still trim to the particles themselves rather than the clauses they head. Editors in DAN and JER repeatedly narrowed over-long quotes — a full verse trimmed to the bare connector — while leaving the note text and alternate translation intact. The same trim-to-anchor discipline was also observed applied to figs-activepassive notes (quoting only the passive verb form, not the surrounding clause), though that observation does not change the every-instance mandate above. This is the most repeated signal in the batch, independently converged on across six consecutive nightly runs (09-18 to 09-24).",ALL,"quote anchor: connector/particle only, not surrounding clause; applies to logic-result/-goal/-contrast; DAN+JER; corroborated across 6 nightly runs (09-18 to 09-24)",2026-09-24,dream
1:1,rc://*/ta/man/translate/figs-ellipsis,"The ~78% deletion rate is poetry-specific, not universal. In narrative prose and prophetic prose (DAN's Aramaic narrative chapters, JER's prose oracles), editors consistently ADD figs-ellipsis notes — at a meaningfully higher survival rate than poetry — for two concrete triggers: (a) a numeral or time reference stated separately from its noun in a compressed clause, where supplying the noun prevents ambiguity ('a thousand of his nobles' in DAN 5:1, where 'a thousand' is grammatically detached from 'nobles'); (b) an omitted subject or object that cannot be inferred without reading back several verses (DAN 8:15's implicit 'one like a man'). Do not write for everyday ellipsis any reader resolves from the immediate clause (coordinate-verb ellipsis, parallel-clause gapping, asyndetic imperative series) — these continue to be dropped at the established rate, which remains poetry-derived. For the smaller set of notes that do survive, hold them to higher AT-quality standards: supply the most specific term context allows rather than the most generic ('its other half' not 'its half'); give the full prepositional phrase rather than a truncated one; and match tense to Hebrew narrative sequence (past perfect when the event is logically prior to the main narrative). Template: '[Speaker] is leaving out some of the words that in many languages a sentence would need in order to be complete. You can supply these words from the context if that would be clearer in your language. Alternate translation: [complete sentence].' Editors across DAN, ZEC, and JER converged on this genre split and its triggers across five nightly runs (09-18, 09-19, 09-20, 09-22, 09-24).",ALL,"poetry ~78% deleted; narrative/prophetic prose: add for detached numeral/noun and unrecoverable implicit subject; AT-quality standards for survivors; corroborated across 5 nightly runs",2026-09-24,dream
1:1,rc://*/ta/man/translate/figs-rquestion,"Existing rate guidance stands (~42% deleted; write only when the rhetorical force is not obvious to a modern reader). When writing or keeping a figs-rquestion note, name the specific rhetorical purpose explicitly rather than using generic phrasing — to express certainty or exclamatory recognition ('The speaker is using the question form to express certainty about X, not to request information'), to rebuke or challenge ('[Speaker] asks this question to rebuke [addressee] for [reason]'), or to assert a shared implied answer behind stacked questions ('No one advises Yahweh; no one understands what Yahweh says'). Give an AT that recasts the question as a declarative or exclamatory statement carrying that purpose, not a bare restatement. In prophetic prose (especially JER), when the Hebrew anchor spans multiple clauses, prefer occurrence: 0 with an English paraphrase over a long Hebrew quote string. Notes lacking a named purpose were repeatedly dropped or rewritten by editors. Four editors across DAN, AMO, and JER corroborated this pattern across four consecutive nightly runs (09-21 to 09-24), closing out the signal first held from the 09-17 run.",ALL,"purpose-naming template for kept notes; DAN+AMO+JER, corroborated 09-21 to 09-24 (4 nightly runs); closes the 09-17 held signal",2026-09-24,dream
1:1,rc://*/ta/man/translate/figs-metonymy,"Add/drop framework on top of the existing preferred template (row above). ADD a note for: (a) body-part metonymies where the part stands for a non-literal function ('hand' = power or control; 'face of' = being positioned in front of / in the presence of); (b) weapon metonymies in judgment or warfare contexts ('sword' = violent death in battle); (c) a national-ancestor name, place name, or collective noun standing for the people or nation associated with it in prophetic or apocalyptic passages, even when the referent seems obvious to an English reader ('house of Isaac' = the Israelites; 'the high places' = the idolatrous shrines built there). DROP a note when: (a) it is cross-reference-only ('See how you translated this in X:Y') with no metonymy explanation of its own — this reflects pipeline mis-tagging rather than an editorial judgment call; (b) the metonymy is a common, well-established biblical convention a trained translator will already know. Five editors across ZEC, DAN, AMO, and JER added notes along these lines; three editors dropped cross-reference-only and self-evident cases; corroborated across three nightly runs (09-19 to 09-21).",ALL,"add: body-part/weapon/geographic-or-ancestor metonymies in prophetic material; drop: cross-reference-only and common convention; ZEC+DAN+AMO+JER; corroborated across 3 nightly runs",2026-09-21,dream
